Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
21.64,2,0.0501989340537169463932925077,0.0542487320349269,0.0542487320349269,0.0502601496529611,0.0502601496529611,0.113340761154254,0.1151649704696912560465638080,0.0833043996713378560465638080,0.0318605707983534,3.8607095088828595303038033077,45.413906669870880098623789417,48.62183080353195875663977566,1600620000
21.65,2,0.0501943253407367238902045301,0.0542436650627384,0.0542436650627384,0.0502555353198391,0.0502555353198391,0.113327879810784,0.1151519201384090143666182489,0.0832913493400556143666182489,0.0318605707983534,3.8601913900086894898236237764,45.410931948254126232179810388,48.618894933255866501319434497,1601360000
21.66,2,0.0501897117807412275577114280,0.0542385937389209,0.0542385937389209,0.0502509161337911,0.0502509161337911,0.11331501290729,0.1151388840864354225182663182,0.0832783132880820225182663182,0.0318605707983534,3.8596736281538784285227687195,45.407948690146201168416982692,48.615950961449727246917744544,1602100000
21.67,2,0.0501851232901799120366267617,0.0542335477084205,0.0542335477084205,0.0502463220477484,0.0502463220477484,0.113302151101399,0.1151258540116842877237387601,0.0832652832133308877237387601,0.0318605707983534,3.8591559842100397563306049107,45.404967897149159096144256799,48.613008480888885250433285653,1602839000
21.68,2,0.0501805292879320812439961648,0.0542284965151971,0.0542284965151971,0.0502417224432979,0.0502417224432979,0.113289299577314,0.1151128340322997735706026802,0.0832522632339463735706026802,0.0318605707983534,3.8586385748821482352625447263,45.401989170686468143354756303,48.610067046393112763496034905,1603579000
21.69,2,0.0501759386908625339178640912,0.0542234492547648,0.0542234492547648,0.0502371262481782,0.0502371262481782,0.113276462983658,0.1150998291115005048280638157,0.0832392583131471048280638157,0.0318605707983534,3.8581215410847643033770233404,45.399012629466928710609740602,48.607126634659746684392782782,1604319000
21.70,2,0.0501713548995324670566557931,0.0542184091169738,0.0542184091169738,0.0502325368670974,0.0502325368670974,0.113263635108282,0.1150868331522478694245878372,0.0832262623538944694245878372,0.0318605707983534,3.8576047068794756945603847285,45.396042806711513145874601975,48.604191258797430036736752184,1605058000
21.71,2,0.0501667738509055550564021291,0.0542133721063016,0.0542133721063016,0.0502279502320642,0.0502279502320642,0.113250818097422,0.1150738481600267560641259848,0.0832132773616733560641259848,0.0318605707983534,3.8570881284480128468710640652,45.393073842710673619779769397,48.601255856493714158638911393,1605798000
21.72,2,0.0501622069469032802502464986,0.0542083495618073,0.0542083495618073,0.0502233777589046,0.0502233777589046,0.113238009553502,0.1150608721344507318536528552,0.0832003013360973318536528552,0.0318605707983534,3.8565717472123605223244737263,45.390104658540621314809536975,48.598319546632488354016815375,1606538000
21.73,2,0.0501576370972736681143503482,0.0542033245380966,0.0542033245380966,0.0502188023365255,0.0502188023365255,0.113225214520189,0.1150479095247284848745320346,0.0831873387263750848745320346,0.0318605707983534,3.8560556893618221308499804863,45.387137621365947521693166565,48.59538423978256899509360681,1607277000
21.74,2,0.0501530797329276881934704287,0.0541983124300289,0.0541983124300289,0.0502142394146553,0.0502142394146553,0.113212431156564,0.1150349590283337097998598019,0.0831743882299803097998598019,0.0318605707983534,3.8555399163106024344629967205,45.384172933588723855901943741,48.592450133405959301094833767,1608017000
21.75,2,0.0501485177640285288112471575,0.0541932960458217,0.0541932960458217,0.0502096718826169,0.0502096718826169,0.113199657438739,0.1150220180226285565644346440,0.0831614472242751565644346440,0.0318605707983534,3.8550243516544818712219576042,45.381213114858976905602904397,48.589519437165789395596030499,1608757000
