Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
19.84,4,0.0815689595433136295602485452,0.10542412461297,0.10542412461297,0.0819678120996927,0.0819678120996927,0.332578517793441,0.3391223884199961888498731673,0.2324567455841791888498731673,0.106665642835817,4.8575693775750522456577349751,49.127175246993180580648347046,49.127174387815792570775596942,1173985000
19.85,4,0.0815581271243036408817888935,0.105408161119302,0.105408161119302,0.081956926712764,0.081956926712764,0.332506277609829,0.3390492106528139893489668439,0.2323946276898119893489668439,0.106654582963002,4.8565211832363413879776396987,49.121744018102404896879431906,49.12174315756787064500349543,1174577000
19.86,4,0.0815473043292728947152361086,0.105392212071705,0.105392212071705,0.0819460509968736,0.0819460509968736,0.33243410537466,0.3389761016762618886044358980,0.2323325660219568886044358980,0.106643535654305,4.8554739742525232061082294513,49.116319672328030222646860227,49.116318810438741362110354704,1175169000
19.87,4,0.0815364942553077568194694959,0.105376281130298,0.105376281130298,0.0819351880642516,0.0819351880642516,0.332362008814398,0.3389030694533017632512425456,0.2322705686339337632512425456,0.106632500819368,4.8544278646846379194606939041,49.110895451550038415970106982,49.110894588307004531000582682,1175761000
19.88,4,0.0815256779502645277333349793,0.105360349029158,0.105360349029158,0.0819243188700832,0.0819243188700832,0.332289985432137,0.3388301101491846333042950798,0.2322086317813516333042950798,0.106621478367833,4.8533827996039657474462227265,49.105476792835493117912413459,49.105475928240876617504747156,1176352000
19.89,4,0.0815148911810585276439054437,0.105344451204078,0.105344451204078,0.0819134793561751,0.0819134793561751,0.332218026736404,0.3387572177650003229977852441,0.2321467495556573229977852441,0.106610468209343,4.8523386930824469094760055858,49.100059250724605607591175512,49.100058384779625131751373626,1176944000
19.90,4,0.0815041140016605283074584469,0.105328565144868,0.105328565144868,0.0819026494789668,0.0819026494789668,0.332146098152718,0.3386843562402569024207297621,0.2320848859867159024207297621,0.106599470253541,4.8512950285915816249612321532,49.094643916033816351247665629,49.094643048739834298482946351,1177536000
19.91,4,0.0814933516573184469100196746,0.105312702209348,0.105312702209348,0.0818918345093543,0.0818918345093543,0.33207428654405,0.3386116130186133605667530407,0.2320231286085433605667530407,0.10658848441007,4.8502530586695344372700692953,49.089232080146288296111678338,49.089231211505181629403033584,1178127000
19.92,4,0.0814825977274033615769455423,0.105296851984725,0.105296851984725,0.0818810279953134,0.0818810279953134,0.33200253549411,0.3385389310948474211416247254,0.2319614205062774211416247254,0.10657751058857,4.8492119667766569178997522848,49.083824433140849824773265275,49.083823563154514122523654088,1178719000
19.93,4,0.0814718554548059790009320431,0.105281018877068,0.105281018877068,0.0818702331955916,0.0818702331955916,0.331930861296541,0.3384663270302625954623418676,0.2318997783315745954623418676,0.106566548698688,4.8481719901361036102184479883,49.078421869733111057124479127,49.078420998403643304142515012,1179311000
19.94,4,0.0814611337381205475601141349,0.105265211613496,0.105265211613496,0.0818594590522952,0.0818594590522952,0.331859260564622,0.3383937980551612673834151497,0.2318381994050982673834151497,0.106555598650063,4.8471330890749633815513004744,49.073022918648272137080759595,49.073022045977532681888792726,1179903000
19.95,4,0.0814504168069405649341915686,0.105249414266701,0.105249414266701,0.0818486897179042,0.0818486897179042,0.331787732710745,0.3383213424723344002905479048,0.2317766821199964002905479048,0.106544660352338,4.8460952392824491554815906161,49.067628651465174937831009885,49.067627777455203762239722995,1180494000
19.96,4,0.0814396972637296479101467447,0.105233619040586,0.105233619040586,0.08183791775871,0.08183791775871,0.331716272812104,0.3382489548271386886232453390,0.2317152211119806886232453390,0.106533733715158,4.8450583626265784472484168782,49.062234453157459706906030086,49.062233577809341356532295306,1181086000
19.97,4,0.0814290103357432511666376062,0.105217862104092,0.105217862104092,0.081827178574221,0.081827178574221,0.3316448906359,0.3381766473860024213709995197,0.2316538287378384213709995197,0.106522818648164,4.8440226348109785043920373324,49.056847666958835755641558169,49.056846790275229201601885612,1181678000
19.98,4,0.0814183229300433607569511515,0.10520210825458,0.10520210825458,0.0818164389096826,0.0818164389096826,0.331573559487392,0.3381043910635970419210167581,0.2315924760025990419210167581,0.106511915060998,4.8429876392190338702806188487,49.051457495453416245693352429,49.051456617434659777908094073,1182270000
