% Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Lateral distance (ft),Mach number (?)
0.23,8.7646,77.299,342.34,0.61288,0.073441
0.232,8.9199,77.984,342.38,0.62374,0.074033
0.234,9.0766,78.669,342.41,0.63469,0.074626
0.236,9.2346,79.353,342.45,0.64574,0.07522
0.238,9.394,80.038,342.49,0.65689,0.075813
0.24,9.5547,80.724,342.53,0.66813,0.076407
0.242,9.7169,81.409,342.57,0.67947,0.077002
0.244,9.8804,82.094,342.61,0.6909,0.077597
0.246,10.045,82.779,342.64,0.70243,0.078192
0.248,10.211,83.465,342.68,0.71406,0.078788
0.25,10.379,84.15,342.72,0.72578,0.079384
0.252,10.548,84.835,342.76,0.73759,0.07998
0.254,10.718,85.521,342.8,0.74951,0.080577
0.256,10.89,86.207,342.84,0.76151,0.081174
0.258,11.063,86.892,342.87,0.77362,0.081772
0.26,11.238,87.578,342.91,0.78582,0.082369
0.262,11.414,88.264,342.95,0.79812,0.082967
0.264,11.591,88.95,342.99,0.81051,0.083566
0.266,11.769,89.636,343.03,0.823,0.084165
0.268,11.949,90.322,343.07,0.83558,0.084764
0.27,12.131,91.009,343.1,0.84826,0.085363
0.272,12.313,91.695,343.14,0.86103,0.085963
0.274,12.497,92.381,343.18,0.87391,0.086563
0.276,12.683,93.068,343.22,0.88687,0.087163
0.278,12.87,93.754,343.26,0.89994,0.087764
0.28,13.058,94.441,343.3,0.9131,0.088364
0.282,13.247,95.127,343.33,0.92635,0.088966
0.284,13.438,95.814,343.37,0.93971,0.089567
0.286,13.631,96.501,343.41,0.95315,0.090169
0.288,13.824,97.188,343.45,0.9667,0.090771
0.29,14.019,97.875,343.49,0.98034,0.091373
0.292,14.216,98.562,343.52,0.99407,0.091975
0.294,14.414,99.249,343.56,1.0079,0.092578
0.296,14.613,99.936,343.6,1.0218,0.093181
0.298,14.813,100.62,343.64,1.0359,0.093784
0.3,15.015,101.31,343.68,1.05,0.094388
0.302,15.219,102,343.71,1.0642,0.094991
0.304,15.423,102.69,343.75,1.0785,0.095595
0.306,15.629,103.37,343.79,1.0929,0.0962
0.308,15.837,104.06,343.83,1.1074,0.096804
0.31,16.046,104.75,343.87,1.122,0.097409
0.312,16.256,105.44,343.9,1.1367,0.098014
0.314,16.467,106.12,343.94,1.1515,0.098619
0.316,16.68,106.81,343.98,1.1664,0.099224
0.318,16.895,107.5,344.02,1.1814,0.09983
0.32,17.11,108.19,344.06,1.1965,0.10044
0.322,17.327,108.88,344.09,1.2117,0.10104
0.324,17.546,109.56,344.13,1.2269,0.10165
0.326,17.766,110.25,344.17,1.2423,0.10225
0.328,17.987,110.94,344.21,1.2578,0.10286
0.33,18.209,111.63,344.25,1.2733,0.10347
0.332,18.433,112.32,344.28,1.289,0.10407
0.334,18.659,113.01,344.32,1.3047,0.10468
0.336,18.885,113.7,344.36,1.3206,0.10529
0.338,19.114,114.38,344.4,1.3365,0.1059
0.34,19.343,115.07,344.43,1.3526,0.1065
0.342,19.574,115.76,344.47,1.3687,0.10711
0.344,19.806,116.45,344.51,1.385,0.10772
0.346,20.04,117.14,344.58,1.4013,0.10833
0.349,20.393,118.17,344.63,1.426,0.10924
0.3535,20.928,119.73,344.69,1.4634,0.11061
0.36025,21.744,122.05,344.79,1.5204,0.11267
0.37025,22.982,125.5,344.94,1.6069,0.11572
0.38025,24.254,128.95,345.13,1.6957,0.11877
0.39025,25.561,132.41,345.31,1.7869,0.12183
0.40025,26.902,135.86,345.5,1.8804,0.12489
0.41025,28.278,139.32,345.68,1.9763,0.12796
0.42025,29.688,142.78,345.86,2.0745,0.13102
0.43025,31.134,146.24,346.04,2.1752,0.1341
0.44025,32.613,149.7,346.22,2.2782,0.13717
0.45025,34.128,153.16,346.4,2.3836,0.14025
0.46025,35.677,156.63,346.57,2.4914,0.14333
0.47025,37.26,160.1,346.75,2.6017,0.14642
0.48025,38.878,163.57,346.92,2.7143,0.14951
0.49025,40.531,167.04,347.09,2.8295,0.1526
0.50025,42.219,170.51,347.26,2.9471,0.15569
0.51025,43.942,173.98,347.43,3.0672,0.15879
0.52025,45.699,177.46,347.59,3.1898,0.16189
0.53025,47.491,180.94,347.75,3.315,0.16499
0.54025,49.318,184.42,347.92,3.4427,0.1681
0.55025,51.179,187.9,348.07,3.573,0.1712
0.56025,53.076,191.38,348.23,3.706,0.17432
0.57025,55.007,194.86,348.38,3.8416,0.17743
0.58025,56.973,198.35,348.54,3.9799,0.18055
0.59025,58.974,201.84,348.68,4.121,0.18366
0.60025,61.01,205.33,348.83,4.2649,0.18678
0.61025,63.08,208.82,348.97,4.4115,0.18991
0.62025,65.186,212.31,349.11,4.5611,0.19303
0.63025,67.327,215.8,349.25,4.7135,0.19616
0.64025,69.502,219.29,349.39,4.869,0.19929
0.65025,71.712,222.79,349.52,5.0274,0.20243
0.66025,73.958,226.29,349.65,5.1889,0.20556
0.67025,76.238,229.78,349.77,5.3536,0.2087
0.68025,78.554,233.28,349.89,5.5214,0.21184
0.69025,80.904,236.78,350.01,5.6925,0.21499
0.70025,83.289,240.29,350.12,5.8669,0.21813
0.71025,85.71,243.79,350.23,6.0447,0.22128
0.72025,88.165,247.29,350.34,6.226,0.22443
0.73025,90.655,250.8,350.44,6.4107,0.22758
0.74025,93.181,254.3,350.54,6.5991,0.23073
0.75025,95.741,257.81,350.63,6.7912,0.23389
0.76025,98.337,261.32,350.72,6.987,0.23705
0.77025,100.97,264.83,350.8,7.1866,0.24021
0.78025,103.63,268.34,350.88,7.3902,0.24337
0.79025,106.33,271.85,350.96,7.5977,0.24654
0.80025,109.07,275.36,351.03,7.8094,0.2497
0.81025,111.84,278.87,351.09,8.0253,0.25287
0.82025,114.65,282.38,351.15,8.2454,0.25604
0.83025,117.49,285.89,351.2,8.4699,0.25922
0.84025,120.37,289.41,351.25,8.6989,0.26239
0.85025,123.28,292.92,351.29,8.9324,0.26557
0.86025,126.22,296.43,351.33,9.1706,0.26874
0.87025,129.21,299.95,351.36,9.4135,0.27193
0.88025,132.22,303.46,351.39,9.6614,0.27511
0.89025,135.28,306.98,351.41,9.9142,0.27829
0.90025,138.36,310.49,351.43,10.172,0.28148
0.91025,141.49,314.01,351.44,10.435,0.28466
0.92025,144.64,317.52,351.44,10.703,0.28785
0.93025,147.84,321.04,351.44,10.977,0.29104
0.94025,151.06,324.55,351.43,11.257,0.29423
0.95025,154.33,328.07,351.42,11.541,0.29743
0.96025,157.63,331.58,351.41,11.832,0.30062
0.97025,160.96,335.1,351.39,12.128,0.30382
0.98025,164.33,338.61,351.36,12.431,0.30702
0.99025,167.73,342.13,351.32,12.739,0.31022
1.0003,171.17,345.64,351.28,13.054,0.31342
1.0103,174.64,349.16,351.22,13.375,0.31662
1.0203,178.15,352.67,351.17,13.702,0.31982
1.0303,181.7,356.18,351.11,14.036,0.32303
1.0403,185.28,359.69,351.04,14.377,0.32623
1.0503,188.89,363.2,350.97,14.724,0.32944
1.0603,192.54,366.71,350.9,15.078,0.33265
1.0703,196.23,370.22,350.83,15.439,0.33586
1.0803,199.94,373.73,350.75,15.807,0.33907
1.0903,203.7,377.24,350.68,16.183,0.34228
1.1003,207.49,380.75,350.6,16.565,0.34549
1.1103,211.31,384.26,350.53,16.955,0.3487
1.1203,215.17,387.76,350.45,17.353,0.35192
1.1303,219.07,391.27,350.38,17.758,0.35513
1.1403,223,394.77,350.3,18.171,0.35835
