% Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Lateral distance (ft),Mach number (?)
11.99,18982,1662.6,-142.56,3576.1,1.6331
12,18998,1661.2,-142.36,3579.5,1.6318
12.01,19015,1659.8,-142.17,3582.9,1.6305
12.02,19032,1658.4,-141.98,3586.3,1.6292
12.03,19048,1657,-141.78,3589.7,1.6279
12.04,19065,1655.5,-141.59,3593.1,1.6267
12.05,19081,1654.1,-141.4,3596.5,1.6254
12.06,19098,1652.7,-141.21,3599.9,1.6241
12.07,19114,1651.3,-141.02,3603.3,1.6228
12.08,19131,1649.9,-140.83,3606.6,1.6216
12.09,19147,1648.5,-140.63,3610,1.6203
12.1,19164,1647.1,-140.44,3613.4,1.619
12.11,19180,1645.7,-140.25,3616.8,1.6178
12.12,19197,1644.3,-140.06,3620.1,1.6165
12.13,19213,1642.9,-139.87,3623.5,1.6152
12.14,19230,1641.5,-139.67,3626.9,1.614
12.15,19246,1640.1,-139.48,3630.2,1.6127
12.16,19262,1638.7,-139.29,3633.6,1.6115
12.17,19279,1637.3,-139.09,3637,1.6102
12.18,19295,1635.9,-138.9,3640.3,1.609
12.19,19311,1634.5,-138.71,3643.7,1.6077
12.2,19328,1633.1,-138.52,3647,1.6065
12.21,19344,1631.7,-138.33,3650.4,1.6052
12.22,19360,1630.4,-138.14,3653.7,1.604
12.23,19377,1629,-137.95,3657.1,1.6027
12.24,19393,1627.6,-137.76,3660.4,1.6015
12.25,19409,1626.2,-137.58,3663.8,1.6002
12.26,19426,1624.8,-137.39,3667.1,1.599
12.27,19442,1623.5,-137.2,3670.4,1.5978
12.28,19458,1622.1,-137.01,3673.8,1.5965
12.29,19474,1620.7,-136.82,3677.1,1.5953
12.3,19490,1619.4,-136.64,3680.4,1.5941
12.31,19507,1618,-136.45,3683.8,1.5928
12.32,19523,1616.6,-136.27,3687.1,1.5916
12.33,19539,1615.3,-136.08,3690.4,1.5904
12.34,19555,1613.9,-135.9,3693.7,1.5891
12.35,19571,1612.6,-135.71,3697.1,1.5879
12.36,19587,1611.2,-135.53,3700.4,1.5867
12.37,19603,1609.8,-135.34,3703.7,1.5855
12.38,19620,1608.5,-135.16,3707,1.5842
12.39,19636,1607.1,-134.97,3710.3,1.583
12.4,19652,1605.8,-134.79,3713.6,1.5818
12.41,19668,1604.5,-134.6,3716.9,1.5806
12.42,19684,1603.1,-134.41,3720.2,1.5794
12.43,19700,1601.8,-134.23,3723.5,1.5782
12.44,19716,1600.4,-134.05,3726.8,1.5769
12.45,19732,1599.1,-133.87,3730.1,1.5757
12.46,19748,1597.7,-133.69,3733.4,1.5745
12.47,19764,1596.4,-133.51,3736.7,1.5733
12.48,19780,1595.1,-133.33,3740,1.5721
12.49,19796,1593.7,-133.15,3743.3,1.5709
12.5,19812,1592.4,-132.97,3746.6,1.5697
12.51,19827,1591.1,-132.79,3749.8,1.5685
12.52,19843,1589.8,-132.62,3753.1,1.5673
12.53,19859,1588.4,-132.44,3756.4,1.5661
12.54,19875,1587.1,-132.26,3759.7,1.5649
12.55,19891,1585.8,-132.09,3762.9,1.5637
12.56,19907,1584.5,-131.92,3766.2,1.5625
12.57,19923,1583.1,-131.74,3769.5,1.5613
12.58,19939,1581.8,-131.57,3772.7,1.5601
12.59,19954,1580.5,-131.4,3776,1.5589
12.6,19970,1579.2,-131.23,3779.3,1.5578
12.61,19986,1577.9,-131.06,3782.5,1.5566
12.62,20002,1576.6,-130.89,3785.8,1.5554
12.63,20017,1575.3,-130.71,3789,1.5542
12.64,20033,1574,-130.54,3792.3,1.553
12.65,20049,1572.7,-130.37,3795.6,1.5518
12.66,20065,1571.4,-130.2,3798.8,1.5507
12.67,20080,1570.1,-130.03,3802,1.5495
12.68,20096,1568.8,-129.86,3805.3,1.5483
12.69,20112,1567.5,-129.69,3808.5,1.5471
12.7,20127,1566.2,-129.51,3811.8,1.546
12.71,20143,1564.9,-129.34,3815,1.5448
12.72,20159,1563.6,-129.17,3818.2,1.5436
12.73,20174,1562.3,-129,3821.5,1.5425
12.74,20190,1561,-128.83,3824.7,1.5413
12.75,20206,1559.7,-128.66,3827.9,1.5401
12.76,20221,1558.4,-128.49,3831.2,1.539
12.77,20237,1557.1,-128.32,3834.4,1.5378
12.78,20252,1555.9,-128.15,3837.6,1.5366
12.79,20268,1554.6,-127.99,3840.8,1.5355
12.8,20283,1553.3,-127.82,3844.1,1.5343
12.81,20299,1552,-127.65,3847.3,1.5332
12.82,20314,1550.7,-127.49,3850.5,1.532
12.83,20330,1549.5,-127.32,3853.7,1.5308
12.84,20345,1548.2,-127.16,3856.9,1.5297
12.85,20361,1546.9,-127,3860.1,1.5285
12.86,20376,1545.7,-126.84,3863.3,1.5274
12.87,20392,1544.4,-126.67,3866.5,1.5262
12.88,20407,1543.1,-126.51,3869.7,1.5251
12.89,20423,1541.9,-126.35,3872.9,1.524
12.9,20438,1540.6,-126.19,3876.1,1.5228
12.91,20453,1539.3,-126.03,3879.3,1.5217
12.92,20469,1538.1,-125.87,3882.5,1.5205
12.93,20484,1536.8,-125.7,3885.7,1.5194
12.94,20500,1535.6,-125.54,3888.9,1.5182
12.95,20515,1534.3,-125.38,3892.1,1.5171
12.96,20530,1533.1,-125.22,3895.3,1.516
12.97,20546,1531.8,-125.06,3898.4,1.5148
12.98,20561,1530.6,-124.89,3901.6,1.5137
12.99,20576,1529.3,-124.73,3904.8,1.5126
13,20592,1528.1,-124.57,3908,1.5114
13.01,20607,1526.8,-124.41,3911.2,1.5103
13.02,20622,1525.6,-124.25,3914.3,1.5092
13.03,20637,1524.3,-124.09,3917.5,1.5081
13.04,20653,1523.1,-123.93,3920.7,1.5069
13.05,20668,1521.9,-123.77,3923.8,1.5058
13.06,20683,1520.6,-123.61,3927,1.5047
13.07,20698,1519.4,-123.45,3930.2,1.5036
13.08,20713,1518.1,-123.3,3933.3,1.5024
13.09,20729,1516.9,-123.14,3936.5,1.5013
13.1,20744,1515.7,-122.98,3939.6,1.5002
13.11,20759,1514.5,-122.83,3942.8,1.4991
13.12,20774,1513.2,-122.67,3945.9,1.498
13.13,20789,1512,-122.52,3949.1,1.4969
13.14,20804,1510.8,-122.37,3952.2,1.4958
13.15,20819,1509.6,-122.21,3955.4,1.4946
13.16,20834,1508.3,-122.06,3958.5,1.4935
13.17,20849,1507.1,-121.91,3961.7,1.4924
13.18,20865,1505.9,-121.75,3964.8,1.4913
13.19,20880,1504.7,-121.6,3967.9,1.4902
13.2,20895,1503.5,-121.45,3971.1,1.4891
13.21,20910,1502.2,-121.3,3974.2,1.488
13.22,20925,1501,-121.14,3977.3,1.4869
13.23,20940,1499.8,-120.99,3980.5,1.4858
13.24,20955,1498.6,-120.84,3983.6,1.4847
13.25,20970,1497.4,-120.69,3986.7,1.4836
13.26,20985,1496.2,-120.53,3989.8,1.4825
13.27,21000,1495,-120.38,3993,1.4814
13.28,21015,1493.8,-120.23,3996.1,1.4803
13.29,21029,1492.6,-120.08,3999.2,1.4792
13.3,21044,1491.4,-119.93,4002.3,1.4782
13.31,21059,1490.2,-119.77,4005.4,1.4771
13.32,21074,1489,-119.62,4008.5,1.476
13.33,21089,1487.8,-119.47,4011.7,1.4749
13.34,21104,1486.6,-119.32,4014.8,1.4738
13.35,21119,1485.4,-119.17,4017.9,1.4727
13.36,21134,1484.2,-119.02,4021,1.4716
13.37,21148,1483,-118.88,4024.1,1.4706
13.38,21163,1481.8,-118.73,4027.2,1.4695
13.39,21178,1480.7,-118.58,4030.3,1.4684
13.4,21193,1479.5,-118.44,4033.4,1.4673
13.41,21208,1478.3,-118.29,4036.5,1.4662
13.42,21222,1477.1,-118.15,4039.6,1.4652
13.43,21237,1475.9,-118,4042.6,1.4641
13.44,21252,1474.7,-117.86,4045.7,1.463
13.45,21267,1473.6,-117.71,4048.8,1.4619
13.46,21281,1472.4,-117.57,4051.9,1.4609
13.47,21296,1471.2,-117.42,4055,1.4598
13.48,21311,1470,-117.28,4058.1,1.4587
13.49,21326,1468.9,-117.13,4061.1,1.4577
13.5,21340,1467.7,-116.99,4064.2,1.4566
13.51,21355,1466.5,-116.85,4067.3,1.4555
13.52,21370,1465.4,-116.71,4070.4,1.4545
13.53,21384,1464.2,-116.57,4073.4,1.4534
13.54,21399,1463,-116.43,4076.5,1.4524
13.55,21414,1461.9,-116.29,4079.6,1.4513
13.56,21428,1460.7,-116.14,4082.6,1.4502
13.57,21443,1459.5,-116,4085.7,1.4492
13.58,21457,1458.4,-115.86,4088.8,1.4481
13.59,21472,1457.2,-115.72,4091.8,1.4471
13.6,21486,1456.1,-115.58,4094.9,1.446
13.61,21501,1454.9,-115.44,4097.9,1.445
13.62,21516,1453.8,-115.31,4101,1.4439
13.63,21530,1452.6,-115.17,4104,1.4429
13.64,21545,1451.5,-115.03,4107.1,1.4418
13.65,21559,1450.3,-114.89,4110.1,1.4408
13.66,21574,1449.2,-114.76,4113.2,1.4397
13.67,21588,1448,-114.62,4116.2,1.4387
13.68,21603,1446.9,-114.49,4119.3,1.4376
13.69,21617,1445.7,-114.35,4122.3,1.4366
13.7,21632,1444.6,-114.22,4125.3,1.4356
13.71,21646,1443.4,-114.08,4128.4,1.4345
13.72,21660,1442.3,-113.95,4131.4,1.4335
13.73,21675,1441.2,-113.81,4134.5,1.4324
13.74,21689,1440,-113.68,4137.5,1.4314
13.75,21704,1438.9,-113.54,4140.5,1.4304
13.76,21718,1437.8,-113.41,4143.5,1.4293
13.77,21732,1436.6,-113.28,4146.6,1.4283
13.78,21747,1435.5,-113.14,4149.6,1.4273
13.79,21761,1434.4,-113.01,4152.6,1.4262
13.8,21775,1433.2,-112.87,4155.6,1.4252
13.81,21790,1432.1,-112.74,4158.6,1.4242
13.82,21804,1431,-112.61,4161.7,1.4232
13.83,21818,1429.9,-112.47,4164.7,1.4221
13.84,21833,1428.7,-112.34,4167.7,1.4211
13.85,21847,1427.6,-112.21,4170.7,1.4201
13.86,21861,1426.5,-112.07,4173.7,1.4191
13.87,21875,1425.4,-111.94,4176.7,1.418
13.88,21890,1424.2,-111.81,4179.7,1.417
13.89,21904,1423.1,-111.68,4182.7,1.416
13.9,21918,1422,-111.55,4185.7,1.415
13.91,21932,1420.9,-111.42,4188.7,1.414
13.92,21947,1419.8,-111.29,4191.7,1.4129
13.93,21961,1418.7,-111.16,4194.7,1.4119
13.94,21975,1417.6,-111.03,4197.7,1.4109
13.95,21989,1416.4,-110.9,4200.7,1.4099
13.96,22003,1415.3,-110.77,4203.7,1.4089
13.97,22017,1414.2,-110.64,4206.7,1.4079
13.98,22032,1413.1,-110.51,4209.7,1.4069
13.99,22046,1412,-110.38,4212.7,1.4059
14,22060,1410.9,-110.26,4215.6,1.4049
14.01,22074,1409.8,-110.13,4218.6,1.4038
14.02,22088,1408.7,-110,4221.6,1.4028
14.03,22102,1407.6,-109.88,4224.6,1.4018
14.04,22116,1406.5,-109.75,4227.6,1.4008
14.05,22130,1405.4,-109.62,4230.5,1.3998
14.06,22144,1404.3,-109.49,4233.5,1.3988
14.07,22158,1403.2,-109.36,4236.5,1.3978
14.08,22172,1402.1,-109.22,4239.4,1.3968
14.09,22186,1401,-109.09,4242.4,1.3958
14.1,22200,1400,-108.96,4245.4,1.3948
14.11,22214,1398.9,-108.83,4248.3,1.3938
14.12,22228,1397.8,-108.69,4251.3,1.3928
14.13,22242,1396.7,-108.56,4254.3,1.3919
14.14,22256,1395.6,-108.43,4257.2,1.3909
14.15,22270,1394.5,-108.3,4260.2,1.3899
14.16,22284,1393.4,-108.17,4263.1,1.3889
14.17,22298,1392.4,-108.04,4266.1,1.3879
14.18,22312,1391.3,-107.91,4269,1.3869
14.19,22326,1390.2,-107.78,4272,1.3859
14.2,22340,1389.1,-107.65,4274.9,1.3849
14.21,22354,1388.1,-107.52,4277.9,1.384
14.22,22368,1387,-107.39,4280.8,1.383
14.23,22381,1385.9,-107.26,4283.8,1.382
14.24,22395,1384.8,-107.14,4286.7,1.381
14.25,22409,1383.8,-107.01,4289.7,1.38
14.26,22423,1382.7,-106.88,4292.6,1.3791
14.27,22437,1381.6,-106.75,4295.5,1.3781
14.28,22451,1380.6,-106.63,4298.5,1.3771
14.29,22464,1379.5,-106.5,4301.4,1.3761
14.3,22478,1378.4,-106.38,4304.3,1.3752
14.31,22492,1377.4,-106.25,4307.3,1.3742
14.32,22506,1376.3,-106.13,4310.2,1.3732
14.33,22519,1375.2,-106,4313.1,1.3722
14.34,22533,1374.2,-105.88,4316,1.3713
14.35,22547,1373.1,-105.75,4319,1.3703
14.36,22561,1372.1,-105.63,4321.9,1.3693
14.37,22574,1371,-105.5,4324.8,1.3684
14.38,22588,1370,-105.38,4327.7,1.3674
14.39,22602,1368.9,-105.25,4330.6,1.3664
14.4,22615,1367.9,-105.13,4333.5,1.3655
14.41,22629,1366.8,-105,4336.4,1.3645
14.42,22643,1365.8,-104.88,4339.4,1.3636
14.43,22656,1364.7,-104.75,4342.3,1.3626
14.44,22670,1363.7,-104.63,4345.2,1.3616
14.45,22684,1362.6,-104.51,4348.1,1.3607
14.46,22697,1361.6,-104.39,4351,1.3597
14.47,22711,1360.5,-104.26,4353.9,1.3588
14.48,22725,1359.5,-104.14,4356.8,1.3578
14.49,22738,1358.4,-104.02,4359.7,1.3569
14.5,22752,1357.4,-103.9,4362.6,1.3559
14.51,22765,1356.4,-103.78,4365.5,1.355
14.52,22779,1355.3,-103.66,4368.4,1.354
14.53,22792,1354.3,-103.54,4371.3,1.3531
14.54,22806,1353.3,-103.42,4374.2,1.3521
14.55,22819,1352.2,-103.3,4377,1.3512
14.56,22833,1351.2,-103.18,4379.9,1.3502
14.57,22847,1350.2,-103.06,4382.8,1.3493
14.58,22860,1349.1,-102.94,4385.7,1.3483
14.59,22873,1348.1,-102.82,4388.6,1.3474
14.6,22887,1347.1,-102.7,4391.5,1.3464
14.61,22900,1346,-102.58,4394.3,1.3455
14.62,22914,1345,-102.47,4397.2,1.3446
14.63,22927,1344,-102.35,4400.1,1.3436
14.64,22941,1343,-102.23,4403,1.3427
14.65,22954,1342,-102.11,4405.8,1.3418
14.66,22968,1340.9,-101.99,4408.7,1.3408
14.67,22981,1339.9,-101.88,4411.6,1.3399
14.68,22994,1338.9,-101.76,4414.4,1.3389
14.69,23008,1337.9,-101.65,4417.3,1.338
14.7,23021,1336.9,-101.53,4420.2,1.3371
14.71,23035,1335.8,-101.42,4423,1.3362
14.72,23048,1334.8,-101.3,4425.9,1.3352
14.73,23061,1333.8,-101.19,4428.8,1.3343
14.74,23075,1332.8,-101.08,4431.6,1.3334
14.75,23088,1331.8,-100.96,4434.5,1.3324
14.76,23101,1330.8,-100.85,4437.3,1.3315
14.77,23114,1329.8,-100.74,4440.2,1.3306
14.78,23128,1328.8,-100.63,4443,1.3297
14.79,23141,1327.8,-100.51,4445.9,1.3287
14.8,23154,1326.8,-100.4,4448.7,1.3278
14.81,23168,1325.8,-100.29,4451.6,1.3269
14.82,23181,1324.8,-100.18,4454.4,1.326
14.83,23194,1323.8,-100.07,4457.3,1.3251
14.84,23207,1322.8,-99.959,4460.1,1.3241
14.85,23221,1321.8,-99.848,4462.9,1.3232
14.86,23234,1320.8,-99.738,4465.8,1.3223
14.87,23247,1319.8,-99.627,4468.6,1.3214
14.88,23260,1318.8,-99.517,4471.5,1.3205
14.89,23273,1317.8,-99.407,4474.3,1.3196
14.9,23287,1316.8,-99.298,4477.1,1.3187
14.91,23300,1315.8,-99.188,4480,1.3177
14.92,23313,1314.8,-99.078,4482.8,1.3168
14.93,23326,1313.8,-98.969,4485.6,1.3159
14.94,23339,1312.8,-98.86,4488.4,1.315
14.95,23352,1311.8,-98.75,4491.3,1.3141
14.96,23365,1310.8,-98.641,4494.1,1.3132
14.97,23378,1309.9,-98.533,4496.9,1.3123
14.98,23392,1308.9,-98.424,4499.7,1.3114
14.99,23405,1307.9,-98.316,4502.5,1.3105
15,23418,1306.9,-98.208,4505.4,1.3096
15.01,23431,1305.9,-98.1,4508.2,1.3087
15.02,23444,1304.9,-97.992,4511,1.3078
15.03,23457,1304,-97.885,4513.8,1.3069
15.04,23470,1303,-97.778,4516.6,1.306
15.05,23483,1302,-97.671,4519.4,1.3051
15.06,23496,1301,-97.565,4522.2,1.3042
15.07,23509,1300.1,-97.459,4525,1.3033
15.08,23522,1299.1,-97.353,4527.8,1.3024
15.09,23535,1298.1,-97.248,4530.6,1.3015
15.1,23548,1297.1,-97.143,4533.4,1.3006
15.11,23561,1296.2,-97.038,4536.2,1.2997
15.12,23574,1295.2,-96.933,4539,1.2988
15.13,23587,1294.2,-96.828,4541.8,1.2979
15.14,23600,1293.3,-96.724,4544.6,1.297
15.15,23613,1292.3,-96.619,4547.4,1.2962
15.16,23626,1291.3,-96.515,4550.2,1.2953
15.17,23638,1290.4,-96.411,4553,1.2944
15.18,23651,1289.4,-96.307,4555.8,1.2935
15.19,23664,1288.4,-96.204,4558.6,1.2926
15.2,23677,1287.5,-96.1,4561.4,1.2917
15.21,23690,1286.5,-95.997,4564.1,1.2908
15.22,23703,1285.6,-95.893,4566.9,1.29
15.23,23716,1284.6,-95.79,4569.7,1.2891
15.24,23729,1283.6,-95.687,4572.5,1.2882
15.25,23741,1282.7,-95.585,4575.3,1.2873
15.26,23754,1281.7,-95.482,4578,1.2864
15.27,23767,1280.8,-95.38,4580.8,1.2856
15.28,23780,1279.8,-95.277,4583.6,1.2847
15.29,23793,1278.9,-95.175,4586.4,1.2838
15.3,23805,1277.9,-95.074,4589.1,1.2829
15.31,23818,1277,-94.972,4591.9,1.2821
15.32,23831,1276,-94.871,4594.7,1.2812
15.33,23844,1275.1,-94.769,4597.4,1.2803
15.34,23856,1274.1,-94.669,4600.2,1.2794
15.35,23869,1273.2,-94.568,4603,1.2786
15.36,23882,1272.2,-94.468,4605.7,1.2777
15.37,23895,1271.3,-94.367,4608.5,1.2768
15.38,23907,1270.3,-94.267,4611.3,1.276
15.39,23920,1269.4,-94.168,4614,1.2751
15.4,23933,1268.5,-94.068,4616.8,1.2742
15.41,23945,1267.5,-93.969,4619.5,1.2734
15.42,23958,1266.6,-93.87,4622.3,1.2725
15.43,23971,1265.6,-93.771,4625,1.2716
15.44,23983,1264.7,-93.672,4627.8,1.2708
15.45,23996,1263.8,-93.574,4630.5,1.2699
15.46,24009,1262.8,-93.475,4633.3,1.269
15.47,24021,1261.9,-93.377,4636,1.2682
15.48,24034,1261,-93.279,4638.8,1.2673
15.49,24047,1260,-93.181,4641.5,1.2665
15.5,24059,1259.1,-93.084,4644.2,1.2656
15.51,24072,1258.2,-92.986,4647,1.2648
15.52,24084,1257.2,-92.888,4649.7,1.2639
15.53,24097,1256.3,-92.791,4652.5,1.263
15.54,24109,1255.4,-92.694,4655.2,1.2622
15.55,24122,1254.5,-92.597,4657.9,1.2613
15.56,24134,1253.5,-92.5,4660.7,1.2605
15.57,24147,1252.6,-92.403,4663.4,1.2596
15.58,24160,1251.7,-92.307,4666.1,1.2588
15.59,24172,1250.8,-92.211,4668.9,1.2579
15.6,24185,1249.8,-92.115,4671.6,1.2571
15.61,24197,1248.9,-92.019,4674.3,1.2562
15.62,24210,1248,-91.923,4677,1.2554
15.63,24222,1247.1,-91.828,4679.8,1.2545
15.64,24234,1246.2,-91.733,4682.5,1.2537
15.65,24247,1245.2,-91.638,4685.2,1.2528
15.66,24259,1244.3,-91.543,4687.9,1.252
15.67,24272,1243.4,-91.449,4690.6,1.2511
15.68,24284,1242.5,-91.355,4693.3,1.2503
15.69,24297,1241.6,-91.26,4696.1,1.2495
15.7,24309,1240.7,-91.166,4698.8,1.2486
15.71,24321,1239.8,-91.073,4701.5,1.2478
15.72,24334,1238.9,-90.979,4704.2,1.2469
15.73,24346,1237.9,-90.886,4706.9,1.2461
15.74,24359,1237,-90.792,4709.6,1.2453
15.75,24371,1236.1,-90.699,4712.3,1.2444
15.76,24383,1235.2,-90.606,4715,1.2436
15.77,24396,1234.3,-90.513,4717.7,1.2428
15.78,24408,1233.4,-90.42,4720.4,1.2419
15.79,24420,1232.5,-90.328,4723.1,1.2411
15.8,24433,1231.6,-90.235,4725.8,1.2403
15.81,24445,1230.7,-90.143,4728.5,1.2394
15.82,24457,1229.8,-90.051,4731.2,1.2386
15.83,24470,1228.9,-89.959,4733.9,1.2378
15.84,24482,1228,-89.867,4736.6,1.2369
15.85,24494,1227.1,-89.775,4739.3,1.2361
15.86,24506,1226.2,-89.684,4742,1.2353
15.87,24519,1225.3,-89.593,4744.7,1.2344
15.88,24531,1224.4,-89.501,4747.4,1.2336
15.89,24543,1223.5,-89.411,4750,1.2328
15.9,24555,1222.6,-89.32,4752.7,1.232
15.91,24568,1221.7,-89.229,4755.4,1.2311
15.92,24580,1220.8,-89.139,4758.1,1.2303
15.93,24592,1220,-89.049,4760.8,1.2295
15.94,24604,1219.1,-88.959,4763.5,1.2287
15.95,24616,1218.2,-88.871,4766.1,1.2278
15.96,24629,1217.3,-88.783,4768.8,1.227
15.97,24641,1216.4,-88.696,4771.5,1.2262
15.98,24653,1215.5,-88.608,4774.2,1.2254
15.99,24665,1214.6,-88.521,4776.8,1.2246
16,24677,1213.7,-88.434,4779.5,1.2238
16.01,24689,1212.9,-88.347,4782.2,1.2229
16.02,24701,1212,-88.26,4784.8,1.2221
16.03,24714,1211.1,-88.174,4787.5,1.2213
16.04,24726,1210.2,-88.087,4790.2,1.2205
16.05,24738,1209.3,-88.001,4792.8,1.2197
16.06,24750,1208.5,-87.915,4795.5,1.2189
16.07,24762,1207.6,-87.828,4798.2,1.2181
16.08,24774,1206.7,-87.742,4800.8,1.2172
16.09,24786,1205.8,-87.656,4803.5,1.2164
16.1,24798,1204.9,-87.57,4806.1,1.2156
16.11,24810,1204.1,-87.485,4808.8,1.2148
16.12,24822,1203.2,-87.399,4811.5,1.214
16.13,24834,1202.3,-87.314,4814.1,1.2132
16.14,24846,1201.4,-87.228,4816.8,1.2124
16.15,24858,1200.6,-87.143,4819.4,1.2116
16.16,24870,1199.7,-87.058,4822.1,1.2108
16.17,24882,1198.8,-86.973,4824.7,1.21
16.18,24894,1198,-86.888,4827.4,1.2092
16.19,24906,1197.1,-86.804,4830,1.2084
16.2,24918,1196.2,-86.719,4832.6,1.2076
16.21,24930,1195.4,-86.635,4835.3,1.2068
16.22,24942,1194.5,-86.551,4837.9,1.206
16.23,24954,1193.6,-86.468,4840.6,1.2052
16.24,24966,1192.8,-86.384,4843.2,1.2044
16.25,24978,1191.9,-86.301,4845.8,1.2036
16.26,24990,1191,-86.218,4848.5,1.2028
16.27,25002,1190.2,-86.135,4851.1,1.202
16.28,25014,1189.3,-86.052,4853.8,1.2012
16.29,25026,1188.5,-85.97,4856.4,1.2004
16.3,25037,1187.6,-85.886,4859,1.1996
16.31,25049,1186.7,-85.802,4861.6,1.1988
16.32,25061,1185.9,-85.718,4864.3,1.198
16.33,25073,1185,-85.634,4866.9,1.1972
16.34,25085,1184.2,-85.55,4869.5,1.1964
16.35,25097,1183.3,-85.466,4872.2,1.1956
16.36,25108,1182.5,-85.383,4874.8,1.1948
16.37,25120,1181.6,-85.299,4877.4,1.194
16.38,25132,1180.8,-85.216,4880,1.1932
16.39,25144,1179.9,-85.132,4882.6,1.1924
16.4,25156,1179.1,-85.049,4885.3,1.1917
16.41,25168,1178.2,-84.966,4887.9,1.1909
16.42,25179,1177.4,-84.883,4890.5,1.1901
16.43,25191,1176.5,-84.8,4893.1,1.1893
16.44,25203,1175.7,-84.717,4895.7,1.1885
16.45,25215,1174.8,-84.635,4898.3,1.1877
16.46,25226,1174,-84.553,4900.9,1.1869
16.47,25238,1173.1,-84.47,4903.6,1.1862
16.48,25250,1172.3,-84.388,4906.2,1.1854
16.49,25261,1171.4,-84.306,4908.8,1.1846
16.5,25273,1170.6,-84.225,4911.4,1.1838
16.51,25285,1169.7,-84.143,4914,1.183
16.52,25297,1168.9,-84.062,4916.6,1.1823
16.53,25308,1168.1,-83.981,4919.2,1.1815
16.54,25320,1167.2,-83.9,4921.8,1.1807
16.55,25332,1166.4,-83.819,4924.4,1.1799
16.56,25343,1165.5,-83.739,4927,1.1791
16.57,25355,1164.7,-83.659,4929.6,1.1784
16.58,25367,1163.9,-83.579,4932.2,1.1776
16.59,25378,1163,-83.499,4934.8,1.1768
16.6,25390,1162.2,-83.419,4937.4,1.176
16.61,25401,1161.4,-83.339,4939.9,1.1753
16.62,25413,1160.5,-83.26,4942.5,1.1745
16.63,25425,1159.7,-83.18,4945.1,1.1737
16.64,25436,1158.9,-83.101,4947.7,1.173
16.65,25448,1158,-83.022,4950.3,1.1722
16.66,25459,1157.2,-82.943,4952.9,1.1714
16.67,25471,1156.4,-82.864,4955.5,1.1706
16.68,25483,1155.6,-82.786,4958.1,1.1699
16.69,25494,1154.7,-82.707,4960.6,1.1691
16.7,25506,1153.9,-82.628,4963.2,1.1683
16.71,25517,1153.1,-82.55,4965.8,1.1676
16.72,25529,1152.3,-82.471,4968.4,1.1668
16.73,25540,1151.4,-82.393,4970.9,1.166
16.74,25552,1150.6,-82.315,4973.5,1.1653
16.75,25563,1149.8,-82.237,4976.1,1.1645
16.76,25575,1149,-82.159,4978.7,1.1638
16.77,25586,1148.1,-82.081,4981.2,1.163
16.78,25598,1147.3,-82.003,4983.8,1.1622
16.79,25609,1146.5,-81.926,4986.4,1.1615
16.8,25621,1145.7,-81.848,4988.9,1.1607
16.81,25632,1144.9,-81.771,4991.5,1.16
16.82,25644,1144,-81.694,4994.1,1.1592
16.83,25655,1143.2,-81.617,4996.6,1.1584
16.84,25666,1142.4,-81.541,4999.2,1.1577
16.85,25678,1141.6,-81.464,5001.8,1.1569
16.86,25689,1140.8,-81.388,5004.3,1.1562
16.87,25701,1140,-81.312,5006.9,1.1554
16.88,25712,1139.2,-81.236,5009.4,1.1547
16.89,25723,1138.3,-81.16,5012,1.1539
16.9,25735,1137.5,-81.085,5014.6,1.1531
16.91,25746,1136.7,-81.009,5017.1,1.1524
16.92,25758,1135.9,-80.934,5019.7,1.1516
16.93,25769,1135.1,-80.859,5022.2,1.1509
16.94,25780,1134.3,-80.784,5024.8,1.1501
16.95,25792,1133.5,-80.709,5027.3,1.1494
16.96,25803,1132.7,-80.634,5029.9,1.1486
16.97,25814,1131.9,-80.56,5032.4,1.1479
16.98,25826,1131.1,-80.485,5035,1.1471
16.99,25837,1130.3,-80.411,5037.5,1.1464
17,25848,1129.5,-80.337,5040.1,1.1456
17.01,25859,1128.7,-80.262,5042.6,1.1449
17.02,25871,1127.9,-80.188,5045.1,1.1442
17.03,25882,1127.1,-80.114,5047.7,1.1434
17.04,25893,1126.3,-80.041,5050.2,1.1427
17.05,25905,1125.5,-79.967,5052.8,1.1419
17.06,25916,1124.7,-79.893,5055.3,1.1412
17.07,25927,1123.9,-79.82,5057.8,1.1404
17.08,25938,1123.1,-79.747,5060.4,1.1397
17.09,25949,1122.3,-79.673,5062.9,1.139
17.1,25961,1121.5,-79.6,5065.4,1.1382
17.11,25972,1120.7,-79.527,5068,1.1375
17.12,25983,1119.9,-79.454,5070.5,1.1367
17.13,25994,1119.1,-79.381,5073,1.136
17.14,26005,1118.3,-79.308,5075.5,1.1353
17.15,26017,1117.5,-79.236,5078.1,1.1345
17.16,26028,1116.7,-79.163,5080.6,1.1338
17.17,26039,1115.9,-79.091,5083.1,1.133
17.18,26050,1115.1,-79.019,5085.6,1.1323
17.19,26061,1114.3,-78.947,5088.2,1.1316
17.2,26072,1113.5,-78.875,5090.7,1.1308
17.21,26084,1112.8,-78.804,5093.2,1.1301
17.22,26095,1112,-78.732,5095.7,1.1294
17.23,26106,1111.2,-78.661,5098.2,1.1286
17.24,26117,1110.4,-78.59,5100.7,1.1279
